test,subject,expected,actual,result,comments
SAVR7,python -c import time; time.sleep(300) # langchain (threshold),confidence >= 0.5,0.4000000059604645,FAIL,entry below minimum_confidence_threshold 0.5 in detected_agents.json
SAVR7,python -c import time; time.sleep(300) # langchain (threshold),confidence >= 0.5,0.4000000059604645,FAIL,entry below minimum_confidence_threshold 0.5 in detected_agents.json
SAVR7,python -c import time; time.sleep(300) # langchain (threshold),confidence >= 0.5,0.4000000059604645,FAIL,entry below minimum_confidence_threshold 0.5 in detected_agents.json
SAVR7,python -c import time; time.sleep(300) # langchain (threshold),confidence >= 0.5,0.4000000059604645,FAIL,entry below minimum_confidence_threshold 0.5 in detected_agents.json
SAVR7,python -c import time; time.sleep(300) # langchain (threshold),confidence >= 0.5,0.4000000059604645,FAIL,entry below minimum_confidence_threshold 0.5 in detected_agents.json
SAVR9,ollama.exe,"user_sid, privileges->not empty, type->primary, integrity->Medium, is_elevated->False","user_sid is present, privileges are present, token type is primary, integrity level is Medium, is_elevated is False",PASS,All fields match
SAVR9,M365Copilot.exe,"user_sid, privileges->not empty, type->primary, integrity->Medium, is_elevated->False","user_sid is present, privileges are present, token type is primary, integrity level is Medium, is_elevated is False",PASS,All fields match
SAVR12,openai fixture,TCP connect from PID=6920 to domain=openai.com,PID=6920 domain=openai.com bytes_out=0 bytes_in=0 rtt=0ms retrans=0 syn=1 source=dns_etw url=https://openai.com,PASS,TCP connect line found with matching PID and domain
SAVR13,scan interval,"short gaps present, no poll-range gaps","9 gap(s): 0 short (<5s), 9 poll-range (25-40s), 0 anomalous (>40s), 0 other (5-25s)",FAIL,poll loop -- no event-driven scans detected -- 10 scans observed
SAVR13,ETW process-added to scan latency,< 50ms,"23895ms (worst case, PID 4632)",FAIL,process \Device\HarddiskVolume3\Program Files\WindowsApps\PythonSoftwareFoundation.PythonManager_26.2.240.0_x64__3847v3x7pw1km\python.exe (PID 4632) added at 06:51:45.620 -- next scan fired 23.9s later (event-driven dispatch not implemented)
SAVR13,event-driven dispatch markers,scan triggered within 50ms of ETW event,none found,FAIL,6 AI process ETW event(s) received but no event-driven scan markers found in log -- scanner appears to be ignoring ETW events for dispatch
SAVR14,PID 2044 (httpbin fixture) -> httpbin.org,"bytes_out>0, bytes_in>0, rtt>0",bytes_out=823 bytes_in=4921 rtt=0ms,FAIL,bytes non-zero on 4/11 snapshot(s) but rtt=0ms on all.
SAVR15,copilot.microsoft.com,sni + ver + cipher present,pid=708 sni=copilot.microsoft.com ver=TLS 1.2 cipher=0xc02f kex=?(255),PARTIAL,kex unresolved: ?(255); alpn not captured
SAVR15,chat.openai.com,sni + ver + cipher present,pid=708 sni=chat.openai.com ver=TLS 1.2 cipher=0xc02b kex=?(255),PARTIAL,kex unresolved: ?(255); alpn not captured
SAVR16,kernel-file monitor,activity in window,none,NOT_DETECTED,no SecureAIKernelFileMonitor lines in the run window; start the window at a service (re)start on a build with the feature enabled
SAVR17,python.exe (torch_python.dll),PROCMOD and SCANNER entries found in log for PIDs ['5236'],"PROCMOD: 10 module(s), SCANNER: 10 lib(s), conf 0.9",PASS,PROCMOD and SCANNER lines found with matching module counts
SAVR18,httpbin.org,DNS status=0 + TCP source=dns_etw,DNS answers=4 transport=DoH latency=1014ms -- TCP domain=httpbin.org source=dns_etw url=https://httpbin.org,PASS,
SAVR18,chatgpt.com,DNS status=0 + TCP source=dns_etw,DNS captured (answers=2 transport=DoH latency=1014ms) but no subsequent TCP connect with source=dns_etw found,PARTIAL,DNS resolution captured at line 56 but flow correlation missing -- IP-to-domain cache lookup not working for this domain
SAVR27a28,ollama container detection,"ContainerAnalysis, service_type=LocalModel, model_mount=/models/tinyllama.gguf, confidence>=0.85","detection_method=ContainerAnalysis, service_type=LocalModel, container_id=cf373778399c, confidence=0.90",FAIL,model_mounts is empty -- no .gguf volume mount detected
SAVR27a28,nginx container,enumerated but not forwarded to detection engine,absent from detected_agents.json,PASS,nginx correctly not detected as AI
SAVR27a28,langchain container,"ContainerAnalysis, cmd_match=1 via langchain pattern","service_type=PythonAIAgent, confidence=0.40, cmd_match=1 pattern=langchain, image_match=0",PASS,cmd_match=1 confirmed in log (note: not persisted to detected_agents.json -- known gap)
SAVR27a28,n8n container,"service_type=WorkflowAutomation, confidence>=0.60","service=WorkflowAutomation (from log), confidence=0.50 (from log), ports=5678",FAIL,confidence=0.50 below 0.60 (known gap: active OpenAI API calls needed to reach threshold)
SAVR27a28,python+env key container,"service_type=PythonAIAgent, env_api_keys_mask!=0","service_type=PythonAIAgent, env_api_keys_mask=1, confidence=0.85",PASS,
SAVR29,TCP flow fields,"all present + non-null: src_ip, src_port, dst_ip, dst_port, bytes_out, bytes_in, bytes_ratio, packets, rtt, tcp_syn, tcp_fin, tcp_rst",absent,NOT_DETECTED,no entry for process_name=Cursor.exe in detected_agents.json this window
